legacyId,parentId,qubitParentSlug,title,radGeneralMaterialDesignation,radTitleStatementOfResponsibility,levelOfDescription,repository,identifier,extentAndMedium,scopeAndContent,acquisition,arrangement,language,locationOfOriginals,reproductionConditions,eventDates
,,test-csv-upload-satya-fonds,Arlene Hache interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Arlene Hache (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 14 min., 20 sec. ","Oral history interview with Arlene Hache anti-violence advocate and feminist (Yellowknife, NWT)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-07-28
,,test-csv-upload-satya-fonds,Audrey McLaughlin interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Audrey McLaughlin (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) : 56 min., 35 sec.","Oral history interview with Audrey McLaughlin former head of Federal New Democrats (Whitehorse, YK).",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-07-15
,,test-csv-upload-satya-fonds,Avis Rasmussen interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Avis Rasmussen (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 53 min., 38  sec.","Oral history interview with Avis Rasmussen artist (Victoria, British Columbia)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-07-19
,,test-csv-upload-satya-fonds,Barbara Bromley interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Barbara Bromley (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  55 min., 14 sec.","Oral history interview with Barbara Bromley early feminist activist (Yellowknife, NWT)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-07-29
,,test-csv-upload-satya-fonds,Beth Atcheson interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Beth Atcheson (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 12 min., 8 sec.","Oral history interview with Beth Atcheson. Topics include: Toronto, women and law, LEAF, Ontario Committee on the Status of Women, constitution, law school, abortion.",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-10-07
,,test-csv-upload-satya-fonds,Beth Atcheson transcript,Textual record (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Beth Atcheson (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,1 textual record (doc) : 18 pages,"Transcript for oral history interview with Beth Atcheson. Topics include: Toronto, women and law, LEAF, Ontario Committee on the Status of Women, constitution, law school, abortion.",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-10-07
,,test-csv-upload-satya-fonds,Betty Irwin interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Betty Irwin (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) : 52 min., 46 sec.","Oral history interview with Betty Irwin women's employment activist and Whitehorse City Councillor (Whitehorse, YK).",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-07-14
,,test-csv-upload-satya-fonds,Brettel Dawson interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Brettel Dawson (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (mp3) :  44 min., 15 sec.","Oral history interview with  Brettel Dawson feminist legal academic. Topics include: Women and the law, Osgoode, Broadside, pornography, race and racism.",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-10-14
,,test-csv-upload-satya-fonds,Brettel Dawson transcript,Textual record (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Brettel Dawson (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,1 textual record (doc) : 15 pages,"Transcript for oral history interview with Brettel Dawson feminist legal academic. Topics include: Women and the law, Osgoode, Broadside, pornography, race and racism.",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-10-14
,,test-csv-upload-satya-fonds,Brigid O'Reilly interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Brigid O'Reilly (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 16 min., 53 sec.","Oral history interview with Brigid O'Reilly former member of the Ontario Committee on the Status of Women. Topics include: Ontario Committee on the Status of Women, LEAF, NAC, pay equity, women in teaching, Royal Commission on the Status of Women.",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-06-23
,,test-csv-upload-satya-fonds,Brigid O'Reilly transcript,Textual record (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Brigid O'Reilly (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,1 textual record (doc) : 19 pages,"Transcript for the oral history interview with Brigid O'Reilly former member of the Ontario Committee on the Status of Women. Topics include: Ontario Committee on the Status of Women, LEAF, NAC, pay equity, women in teaching, Royal Commission on the Status of Women.",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-06-23
,,test-csv-upload-satya-fonds,Caroline Ennis interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Caroline Ennis (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 11 min., 2 sec.","Oral history interview with Caroline Ennis Tobique activist (Tobique, NB)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),"All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections. Restrictions on interview: ""In the future, if anything comes out of these interviews where somebody writes a book or publishes it. And if there is any royalties connected to it, then I would like have a say in where those royalties should go. Because for me I would like it to go to help out women and children. Especially aboriginal women and children like Aboriginal Women's Children. We started one in Fredericton years ago."" - Caroline Ennis, interview recording at 1:06:01",2010-06-22
,,test-csv-upload-satya-fonds,Ceta Ramkhalawansingh interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Ceta Ramkhalawansingh (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 11 min., 2 sec.","Oral history interview with Ceta Ramkhalawansingh Toronto activist/equity officer. Topics include: Women's studies, University of Toronto, women in education, women in municipal. politics, community activism",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-06-05
,,test-csv-upload-satya-fonds,Ceta Ramkhalawansingh transcript,,Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Ceta Ramkhalawansingh (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,1 textual record (doc) : 18 pages,"Transcript for oral history interview with Ceta Ramkhalawansingh Toronto activist/equity officer. Topics include: Women's studies, University of Toronto, women in education, women in municipal. politics, community activism",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-06-05
,,test-csv-upload-satya-fonds,Cynthia Flood interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Cynthia Flood (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 5 min., 4 sec. ","Oral history interview with Cynthia Flood feminist activist and writer (Vancouver, BC)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-07-23
,,test-csv-upload-satya-fonds,Daphne Dumont interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Daphne Dumont (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 4 min., 54 sec. ","Oral history interview with Daphne Dumont family law lawyer (Charlottetown, PEI)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-27
,,test-csv-upload-satya-fonds,Darlene Jamieson interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Darlene Jamieson (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  51 min., 40 sec. ","Oral history interview with Darlene Jamieson feminist lawyer (Halifax, NS)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-30
,,test-csv-upload-satya-fonds,Diann Graham interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Diann Graham (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 6 min., 51 sec. ","Oral history interview with lesbian feminist activist (Halifax, NS)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-18
,,test-csv-upload-satya-fonds,Dolly Williams part 1 interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Dolly Williams (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  35 min., 58 sec. ","Oral history interview with Afro-Canadian feminist (Halifax, NS)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-30
,,test-csv-upload-satya-fonds,Dolly Williams part 2 interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Dolly Williams (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,"1 sound recording (wav) :  9 min., 34 sec.","Oral history interview with Afro-Canadian feminist (Halifax, NS)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-30
,,test-csv-upload-satya-fonds,Donna Smyth interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Donna Smyth (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  31 min., 7 sec.","Oral history interview with feminist writer and academic (Halifax, NS)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-18
,,test-csv-upload-satya-fonds,Doreen Orman part 1 interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Doreen Orman (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  55 min., 43 sec.","Oral history interview with Doreen Orman YWCA organizer (Calgary, AB)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-09-28
,,test-csv-upload-satya-fonds,Doreen Orman part 2 interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Doreen Orman (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,"1 sound recording (wav) :  11 min., 4 sec.","Oral history with Doreen Orman YWCA organizer (Calgary, AB)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-09-28
,,test-csv-upload-satya-fonds,Doreen Paris interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Doreen Paris (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 30 min., 51 sec. ","Oral history interview with Afro-Canadian feminist (New Glasgow, NS)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-21
,,test-csv-upload-satya-fonds,Eliane Silverman part 1 interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Eliane Silverman (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 30 min","Oral history with Eliane Silverman feminist oral historian and academic (Salt Spring Island, BC)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-07-20
,,test-csv-upload-satya-fonds,Eliane Silverman part 2 interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Eliane Silverman (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,"1 sound recording (wav) :  13 min., 58 sec.","Oral history with Eliane Silverman feminist oral historian and academic (Salt Spring Island, BC)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-07-20
,,test-csv-upload-satya-fonds,Eliane Silverman part 3 interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Eliane Silverman (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I3,"1 sound recording (wav) :  6 min., 48 sec.","Oral history interview with Eliane Silverman feminist oral historian and academic (Salt Spring Island, BC)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-07-20
